DeltaM,MDF,Significance,XS,B,S,Efficiency
3.0,135.0,1.02507,0.1289,569978,774.421505779,0.060079247927
3.0,140.0,0.95334,0.1145,569978,720.196597927,0.0628992661945
3.0,145.0,0.834354,0.1022,569978,630.259468973,0.0616692239699
3.0,150.0,0.776949,0.0915,569978,586.874213848,0.064139258344
3.0,155.0,0.70442,0.0823,569978,532.063335534,0.0646492509761
3.0,160.0,0.646019,0.0742,569978,487.932951623,0.0657591579006
3.0,165.0,0.591072,0.067,569978,446.41567926,0.0666292058597
3.0,170.0,0.534629,0.0607,569978,403.771193272,0.0665191422194
3.0,175.0,0.495095,0.0551,569978,373.903894063,0.067859145928
3.0,180.0,0.451972,0.0501,569978,341.326946339,0.0681291310057
3.0,185.0,0.414828,0.0458,569978,313.268280823,0.0683991879526
3.0,190.0,0.387295,0.0418,569978,292.470678201,0.0699690617706
3.0,195.0,0.35457,0.0383,569978,267.752180811,0.0699091855903
3.0,200.0,0.328669,0.0351,569978,248.188882229,0.070709083256
4.0,100.0,2.14496,0.3315,569978,1621.68009562,0.048919459898
4.0,105.0,1.87627,0.2848,569978,1418.28673652,0.0497993938384
4.0,110.0,1.70013,0.2465,569978,1284.99126559,0.0521294631073
4.0,115.0,1.53448,0.2142,569978,1159.66254972,0.0541392413499
4.0,120.0,1.39742,0.1873,569978,1055.98544639,0.0563793617936
4.0,125.0,1.23298,0.1646,569978,931.621951874,0.0565991465294
4.0,130.0,1.12522,0.1453,569978,850.139371779,0.0585092478857
4.0,135.0,1.01961,0.1289,569978,770.293790919,0.0597590217936
4.0,140.0,0.919561,0.1145,569978,694.662857272,0.0606692451766
4.0,145.0,0.832326,0.1022,569978,628.726701384,0.0615192467108
4.0,150.0,0.739537,0.0915,569978,558.600940278,0.0610492830905
4.0,155.0,0.684598,0.0823,569978,517.084571216,0.0628292310104
4.0,160.0,0.627853,0.0742,569978,474.206612826,0.0639092470116
4.0,165.0,0.584865,0.067,569978,441.725936876,0.0659292443098
4.0,170.0,0.534147,0.0607,569978,403.407040631,0.0664591500216
4.0,175.0,0.496773,0.0551,569978,375.171564215,0.0680892131062
4.0,180.0,0.438045,0.0501,569978,330.806295833,0.0660292007652
4.0,185.0,0.403975,0.0458,569978,305.0701595,0.0666092051311
4.0,190.0,0.376837,0.0418,569978,284.571217317,0.0680792385926
4.0,195.0,0.345544,0.0383,569978,260.934671594,0.0681291570742
4.0,200.0,0.320723,0.0351,569978,242.187319109,0.0689992362134
5.0,100.0,1.9352,0.3315,569978,1462.88946351,0.0441293955811
5.0,105.0,1.73176,0.2848,569978,1308.92525267,0.0459594540964
5.0,110.0,1.54439,0.2465,569978,1167.15955872,0.047349272159
5.0,115.0,1.39063,0.2142,569978,1050.84973576,0.0490592780466
5.0,120.0,1.24957,0.1873,569978,944.167490935,0.0504093695107
5.0,125.0,1.12088,0.1646,569978,846.857930112,0.051449448974
5.0,130.0,1.00395,0.1453,569978,758.455125922,0.052199251612
5.0,135.0,0.910143,0.1289,569978,687.543940429,0.0533393281947
5.0,140.0,0.827307,0.1145,569978,624.933346042,0.0545793315321
5.0,145.0,0.763767,0.1022,569978,576.912055412,0.0564493204904
5.0,150.0,0.682386,0.0915,569978,515.41306767,0.0563292970131
5.0,155.0,0.62317,0.0823,569978,470.668163411,0.0571893272674
